#type	format	SLOT Identifier	SLOT Name	SLOT Type	Scaling	Range	Offset	Length	Date Created or Last Modified
int	d	149	SAEpt01	Power, Reactive	1 VAr/bit	-2,000,000,000 to 2,211,081,215 VAr	-2,000,000,000 VAr	4 bytes	8/4/2016
int	d	147	SAEpw01	Power, Real	1 W/bit	-2,000,000,000 to 2,211,081,215 Watts	-2,000,000,000 Watts	4 bytes	5/12/2011
int	u	107	SAEpw02	Power, Real	2 W/bit	0 to 128,510 W	0	2 bytes	5/1/1999
d	1	55	SAEpw03	Power, Real	0.5 kW/bit	0 to 32,127.5 kW	0	2 bytes	
d	1	305	SAEpw04	Power, Real	0.5 W/bit	0 to 32127.5 W	0	2 bytes	5/12/2011
d	2	346	SAEpw05	Power, Real	0.05 kW/bit	0 to 3,212.75 kW	0	2 bytes	8/11/2011
d	4	370	SAEpw06	Power, Real	0.0625 kW/bit	0 to 4015.9375 kW	0	2 bytes	8/9/2012
d	1	428	SAEpw07	Power, Real	0.1 kW/bit	0 to 25 kW	0	1 byte	5/5/2016
d	2	437	SAEpw08	Power, Real	0.05 kW/bit	-1600 to 1,612.75 kW	-1600 kW	2 bytes	2/22/2017
d	3	443	SAEpwr01	Power Rate	0.125 kW/s	0 to 8031.875 kW/s	0	2 bytes	8/10/2017
d	3	32	SAEr01	Ratio	0.001 per bit	0 to 64.255	0	2 bytes	
d	1	31	SAEr02	Ratio	0.1 per bit	0 to 25.0	0	1 byte	
int	u	56	SAEr03	Ratio	1 per bit	0 to 250	0	1 byte	
d	4	318	SAEr04	Ratio	1/8192 per bit	-3.92 to 3.92	-3.92	2 bytes	11/19/2009
d	2	362	SAEr05	Ratio	0.01 per bit	0 to 642.55	0	2 bytes	8/9/2012
d	5	375	SAEr06	Ratio	1/32 per bit	-1004 to 1003.96875	-1004	2 bytes	8/9/2012
d	2	394	SAEr07	Ratio	0.01 per bit	-300 to 342.55	-300	2 bytes	8/15/2013
d	3	447	SAEr08	Ratio	0.004 per bit	1.000 to 2.000	1	1 byte	2/24/2018
int	d	263	SAEra01	Range	1 range/bit	-32 to 29 ranges	-32 ranges	6 bits	11/17/2005
d	4	96	SAErc01	Road Curvature	1/128 1/km per bit	-250 to 251.992 1/km	-250 1/km	2 bytes	
d	4	261	SAErc02	Road Curvature	1/128 deg per bit	-90 to 90 deg	-90 deg	2 bytes	8/17/2005
int	u	33	SAEre01	Record	1 record/bit	0 to 250 records	0	1 byte	
d	1	429	SAEri01	Isolation Resistance	0.1 ohm per V/bit	0 to 6425.5 ohm/V	0	2 bytes	5/5/2016
d	2	454	SAEroc01	Rate of change	.25  %/s per bit	0 to 1003.75 %/s	0	12 bits	8/15/2018
int	u	455	SAEroc02	Rate of change	2 %/s per bit	0 to 8030 %/s	0	12 bits	8/15/2018
d	1	290	SAErs01	Resistance	0.1 ohm/bit	0 to 6425.5 ohm	0	2 bytes	11/15/2007
int	u	383	SAErs02	Resistance	1 kohm/bit	0 to 64255 kohm	0	2 bytes	2/28/2013
int	u	385	SAErs03	Resistance	250 kohm/bit	0 to 62500 kohm	0	1 byte	7/7/2015
int	u	34	SAErv01	Revolutions	1000 r/bit	0 to 4,211,081,215,000 r	0	4 bytes	
int	u	35	SAEsa01	Source Address	1 source address/bit	0 to 255	0	1 byte	7/29/1999
int	u	259	SAEse01	Selection	1 selection/bit	0 to 255	0	1 byte	12/30/2004
d	4	82	SAEsg01	Specific Gravity	0.0001 per bit	0 to 6.4255	0	2 bytes	
